wmo;origin;name;latin;elevation;lat;lng;eol
;;;;;;;
049260;31572;Akrafjall;Akrafjall;37.0;64.3105;21.966;
040630;422;Akureyri;Akureyri;23.0;65.6856;18.1002;
041370;3471;Akureyri - Krossanesbraut;Akureyri - Krossanesbraut;31.0;65.6961;18.1113;
-00990;2370;Arnkatla;Arnkatla;377.0;65.5528;21.8257;
049450;3007;Austurárdalsháls;Austurardalshals;383.0;65.123;20.6961;
048200;6420;Árnes;Arnes;90.0;64.0405;20.2521;
041790;4614;Ásbyrgi;Asbyrgi;38.0;66.03;16.4833;
040270;195;Ásgarður;Asgardur;50.0;65.2297;21.7543;
041330;2175;Ásgarður;Asgardur;50.0;65.2297;21.7543;
049540;6237;Básar á Goðalandi;Basar a Godalandi;239.0;63.6791;19.4814;
040530;361;Bergstaðir;Bergstadir;43.0;65.703;19.613;
049750;34326;Biskupsháls;Biskupshals;521.0;65.5583;16.0113;
041250;2428;Bíldudalur;Bildudalur;16.0;65.6794;23.6122;
041010;2304;Bjargtangar;Bjargtangar;35.0;65.5029;24.5312;
041870;4472;Bjarnarey;Bjarnarey;20.0;65.783;14.317;
-00990;2480;Bjarnarfjarðarháls;Bjarnarfjardarhals;238.5;65.7284;21.5718;
040100;167;Bláfeldur;Blafeldur;13.0;64.8393;23.3004;
041100;1936;Bláfeldur;Blafeldur;13.0;64.8393;23.3012;
048520;1487;Bláfjallaskáli;Blafjallaskali;530.0;63.9831;21.6497;
041380;1486;Bláfjöll;Blafjoll;530.0;63.969;21.6661;
049120;31577;Blikdalsá;Blikdalsa;46.0;64.2664;21.8329;
041450;3317;Blönduós;Blonduos;8.0;65.658;20.2925;
048430;33419;Blönduós Vegagerðarstöð;Blonduos Vegagerdarstod;40.0;65.6668;20.2383;
040050;252;Bolungarvík;Bolungarvik;17.649999618530273;66.161;23.2532;
041270;2738;Bolungarvík;Bolungarvik;27.0;66.161;23.2538;
049270;7736;Bolungarvík - Traðargil;Bolungarvik - Tradargil;500.0;66.1684;23.2681;
049430;32635;Botn í Súgandafirði;Botn i Sugandafirdi;270.0;66.0808;23.3733;
048140;1689;Botnsheiði;Botnsheidi;500.5;64.4529;21.4034;
048560;31985;Brattabrekka;Brattabrekka;390.0;64.8716;21.5154;
048940;35965;Breiðdalsheiði;Breiddalsheidi;480.0;64.9068;14.6034;
041690;5940;Brú á Jökuldal;Bru a Jokuldal;373.0;65.1086;15.5297;
049820;5932;Brúarjökull B10;Bruarjokull B10;845.0;64.728;16.1117;
049780;5825;Brúaröræfi;Bruaroraefi;748.2000122070312;64.8281;16.0897;
049800;5968;Brúðardalur;Brudardalur;300.0;64.9957;14.5106;
